,alb
0,0.28110353030266544
1,0.29110353030266545
2,0.30110353030266546
3,0.3111035303026654
4,0.3211035303026654
5,0.3311035303026654
6,0.34110353030266544
7,0.35110353030266545
8,0.3611035303026654
9,0.3711035303026654
10,0.3811035303026654
11,0.39110353030266537
12,0.40110353030266543
13,0.41110353030266544
14,0.4211035303026655
15,0.4311035303026654
16,0.4411035303026655
17,0.4511035303026654
18,0.46110353030266543
19,0.4711035303026654
20,0.4811035303026654
21,0.4911035303026654
22,0.5011035303026654
23,0.5111035303026654
24,0.5211035303026654
25,0.5311035303026654
26,0.5411035303026654
27,0.5511035303026655
28,0.5611035303026655
29,0.5711035303026655
30,0.5811035303026655
31,0.5911035303026655
32,0.6011035303026655
33,0.6110595025157676
34,0.6209861226843233
35,0.6309127428528789
36,0.6408393630214345
37,0.6507659831899901
38,0.6606054194315735
39,0.67031407970475
40,0.6798719119340987
41,0.6893291917946043
42,0.69878647165511
43,0.7082437515156156
44,0.7177010313761213
45,0.7270602294006291
46,0.7364194273082141
47,0.7457786252157991
48,0.7548980675528594
49,0.7638867330458908
50,0.772456916132203
51,0.7809980378679517
52,0.7895056664413213
53,0.7978498977694235
54,0.8061941290975259
55,0.8143073230742353
56,0.8224205169132355
57,0.8304305429710739
58,0.838151989768226
59,0.8454880115120035
60,0.8524519753396789
61,0.8587951895860055
62,0.8641811968227678
63,0.869346846343256
64,0.8741138473501717
65,0.8784548819331419
66,0.8827264601050664
67,0.8862668556413638
68,0.8892681635322093
69,0.8919133975075553
70,0.8943023832854716
71,0.8963528046063891
72,0.8976461784421653
73,0.8985155478951301
74,0.8992620604073228
75,0.8997619150874313
76,0.899999999905769
77,0.8999999999999999
78,0.8999999999999999
79,0.8999999999999999
80,0.8999999999999999
81,0.8999999999999999
82,0.8999999999999999
83,0.8999999999999999
84,0.8999999999999999
85,0.8999999999999999
